Route_Number,Reason,Boro,Boro Code,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
10,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,13,Running Late
NYD2,Other,Queens,QS,ALINA SERVICES CORP.,15.00,15,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,14,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",30.00,11,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,12,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,14,Running Late
6,Mechanical Problem,Brooklyn,BR,"G.V.C., LTD.",45.00,18,Running Late
2,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,11,Running Late
2,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
K1426,Other,Brooklyn,BR,ALLIED TRANSIT CORP.,0.00,29,Running Late
K103,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",35.00,12,Running Late
Q029,Accident,Queens,QS,ALLIED TRANSIT CORP.,30.00,11,Running Late
M1124,Heavy Traffic,Manhattan,MA,SNT BUS INC,15.00,11,Running Late
2,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,12,Running Late
M35,Heavy Traffic,Brooklyn,BR,PHILLIPS BUS SERVICE,20.00,11,Running Late
K112,Late return from Field Trip,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,18,Running Late
Q2910,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,25,Running Late
X382,Mechanical Problem,Brooklyn,BR,VAN TRANS LLC (B2192),30.00,15,Running Late
M671,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,30.00,15,Running Late
Q149,Heavy Traffic,Queens,QS,L & M BUS CORP. (B2192),20.00,13,Running Late
K133,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,19,Running Late
Q115,Heavy Traffic,Queens,QS,L & M BUS CORP. (B2192),30.00,18,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",12.00,14,Running Late
K035,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2321)",30.00,19,Running Late
Q158,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",15.00,13,Running Late
K285,Late return from Field Trip,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,30.00,18,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,11,Running Late
X2320,Other,Brooklyn,BR,PIONEER TRANSPORTATION CO,8.00,20,Running Late
Q9543,Late return from Field Trip,Queens,QS,LORISSA BUS SERVICE INC.,1.00,50,Running Late
Q9897,Late return from Field Trip,Queens,QS,JOFAZ TRANSPORTATION INC.,30.00,20,Running Late
Q9573,Late return from Field Trip,Queens,QS,LORISSA BUS SERVICE INC.,45.00,50,Running Late
Q9571,Other,Queens,QS,LORISSA BUS SERVICE INC.,45.00,50,Running Late
Q149,Heavy Traffic,Queens,QS,L & M BUS CORP. (B2192),20.00,13,Running Late
W750,Heavy Traffic,Westchester,WES,MAR-CAN TRANSPORT CO. INC,5.00,47,Running Late
HK3,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,15.00,15,Running Late
K396,Heavy Traffic,Brooklyn,BR,"RELIANT TRANS, INC. (B232",25.00,11,Running Late
1,Mechanical Problem,Brooklyn,BR,"G.V.C., LTD.",15.00,15,Running Late
M1050,Other,Manhattan,MA,SNT BUS INC,45.00,17,Running Late
10,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",5.00,13,Running Late
4,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,13,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,15,Running Late
X178,Mechanical Problem,Brooklyn,BR,CONSOLIDATED BUS TRANS. I,30.00,13,Running Late
K254,Late return from Field Trip,Brooklyn,BR,L & M BUS CORP. (B2192),20.00,22,Running Late
Q9937,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,33,Running Late
K9410,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,15,Running Late
Q149,Heavy Traffic,Queens,QS,L & M BUS CORP. (B2192),15.00,12,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",5.00,15,Running Late
X293,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),30.00,12,Running Late
X057,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),30.00,13,Running Late
K286,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,11,Running Late
Q9937,Late return from Field Trip,Queens,QS,ALLIED TRANSIT CORP.,30.00,40,Running Late
Q108,Late return from Field Trip,Queens,QS,L & M BUS CORP. (B2192),15.00,13,Running Late
M238,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,45.00,15,Running Late
M31,Heavy Traffic,Brooklyn,BR,PHILLIPS BUS SERVICE,16.00,15,Running Late
K131,Mechanical Problem,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,15,Running Late
Q158,Heavy Traffic,Queens,QS,"RELIANT TRANS, INC. (B232",15.00,12,Running Late
6,Other,Brooklyn,BR,"G.V.C., LTD.",15.00,14,Running Late
K011,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,13,Running Late
K282,Delayed by School,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,11,Running Late
7,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",15.00,11,Running Late
M651,Heavy Traffic,Manhattan,MA,CAREFUL BUS,16.00,12,Running Late
M268,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,10.00,20,Running Late
K253,Other,Brooklyn,BR,ALLIED TRANSIT CORP.,15.00,12,Running Late
K290,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
M1278,Heavy Traffic,Manhattan,MA,SNT BUS INC,45.00,20,Running Late
HK1,Heavy Traffic,Brooklyn,BR,ANOTHER RIDE INC.,20.00,13,Running Late
M9194,Delayed by School,Manhattan,MA,SNT BUS INC,15.00,18,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",25.00,11,Running Late
K246,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),10.00,17,Running Late
9,Delayed by School,Brooklyn,BR,"G.V.C., LTD.",45.00,18,Running Late
B0917A,Heavy Traffic,Brooklyn,BR,L & M BUS CORP.,10.00,18,Running Late
K290,Delayed by School,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
4,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,14,Running Late
K396,Heavy Traffic,Brooklyn,BR,"RELIANT TRANS, INC. (B232",15.00,11,Running Late
K232,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,11,Running Late
K063,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",20.00,16,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",25.00,11,Running Late
K282,Delayed by School,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,13,Running Late
K593,Heavy Traffic,Brooklyn,BR,CAREFUL BUS,20.00,12,Running Late
B0265A,Other,Brooklyn,BR,L & M BUS CORP.,45.00,12,Running Late
1,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,17,Running Late
M1124,Heavy Traffic,Manhattan,MA,SNT BUS INC,15.00,24,Running Late
K624,Delayed by School,Brooklyn,BR,"RELIANT TRANS, INC. (B232",25.00,11,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,17,Running Late
Q2654,Heavy Traffic,Queens,QS,QUALITY TRANSPORTATION CO,20.00,12,Running Late
X2299,Other,Brooklyn,BR,"GRANDPA`S BUS CO., INC.",20.00,18,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,15,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,11,Running Late
K009,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",25.00,15,Running Late
B0209A,Heavy Traffic,Brooklyn,BR,L & M BUS CORP.,12.00,12,Running Late
K035,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,15,Running Late
8,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,14,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,13,Running Late
1,Other,Brooklyn,BR,"G.V.C., LTD.",10.00,12,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,19,Running Late
Q9968,Late return from Field Trip,Queens,QS,QUALITY TRANSPORTATION CO,25.00,30,Running Late
X273,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),30.00,17,Running Late
K259,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),10.00,16,Running Late
B0905Z,Other,Brooklyn,BR,L & M BUS CORP.,20.00,12,Running Late
X131,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),25.00,23,Running Late
K247,Other,Brooklyn,BR,L & M BUS CORP. (B2192),20.00,13,Running Late
K269,Other,Brooklyn,BR,L & M BUS CORP. (B2192),20.00,19,Running Late
M762,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,20.00,20,Running Late
K280,Other,Brooklyn,BR,EMPIRE STATE BUS CORP.,30.00,12,Running Late
K191,Heavy Traffic,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,18,Running Late
Q154,Heavy Traffic,Queens,QS,L & M BUS CORP. (B2192),25.00,21,Running Late
Q175,Problem Run,Queens,QS,L & M BUS CORP. (B2192),30.00,22,Running Late
K036,Other,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",15.00,14,Running Late
K035,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",10.00,14,Running Late
K289,Other,Brooklyn,BR,EMPIRE CHARTER SERVICE IN,20.00,11,Running Late
K099,Other,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",10.00,11,Running Late
K282,Delayed by School,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,11,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,11,Running Late
2,Other,Brooklyn,BR,"G.V.C., LTD.",5.00,18,Running Late
B0507A,Other,Brooklyn,BR,L & M BUS CORP.,45.00,14,Running Late
3,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",25.00,11,Running Late
M9224,Other,Manhattan,MA,SNT BUS INC,45.00,20,Running Late
K009,Mechanical Problem,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,13,Running Late
B0266A,Mechanical Problem,Brooklyn,BR,L & M BUS CORP.,20.00,12,Running Late
K293,Heavy Traffic,Brooklyn,BR,EMPIRE STATE BUS CORP.,20.00,12,Running Late
3602A,Other,Brooklyn,BR,L & M BUS CORP.,20.00,15,Running Late
X396,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,10.00,12,Running Late
K036,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",45.00,15,Running Late
M1444,Mechanical Problem,Manhattan,MA,SNT BUS INC,45.00,20,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",20.00,16,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,18,Running Late
8,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,17,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",45.00,18,Running Late
5,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",10.00,18,Running Late
K194,Other,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,11,Running Late
X103,Accident,Brooklyn,BR,CONSOLIDATED BUS TRANS. I,5.00,12,Running Late
X2321,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,15.00,50,Running Late
B0241A,Other,Brooklyn,BR,L & M BUS CORP.,20.00,14,Running Late
K053,Late return from Field Trip,Brooklyn,BR,ALLIED TRANSIT CORP.,30.00,25,Running Late
X9187,Late return from Field Trip,Brooklyn,BR,"GRANDPA`S BUS CO., INC.",40.00,25,Running Late
3603Z,Other,Brooklyn,BR,L & M BUS CORP.,1.00,14,Running Late
MN-1,Heavy Traffic,Brooklyn,BR,"DON THOMAS BUSES, INC.",10.00,13,Running Late
X082,Heavy Traffic,Brooklyn,BR,VAN TRANS LLC (B2192),0.00,19,Running Late
K133,Other,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,21,Running Late
K008,Mechanical Problem,Brooklyn,BR,L & M BUS CORP. (B2192),15.00,20,Running Late
1,Heavy Traffic,Brooklyn,BR,"G.V.C., LTD.",16.00,11,Running Late
K1409,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,22,Running Late
M908,Heavy Traffic,Manhattan,MA,LEESEL TRANSP CORP (B2192,30.00,11,Running Late
X2275,Heavy Traffic,Brooklyn,BR,PIONEER TRANSPORTATION CO,2.00,20,Running Late
K081,Heavy Traffic,Brooklyn,BR,"NEW DAWN TRANSIT, LLC (B2",30.00,18,Running Late
K1433,Heavy Traffic,Brooklyn,BR,ALLIED TRANSIT CORP.,20.00,25,Running Late
